fintech_id,fintech_name,platform_type,settlement_currency,fee_rate_pct,min_fee_zar,target_segment,founded_year,hq_city,hq_province,parent_company,is_active,integration_type,avg_basket_zar,active_merchants_est,annual_volume_zar_bn,settlement_days,notes
FT001,Yoco,POS Card Acquiring,ZAR,2.95,0.0,SME,2013,Cape Town,Western Cape,Yoco Technologies,True,REST API / Mobile SDK,856.4,250000,12.4,1,"SAs largest independent payment provider. Card machines: Yoco Go (R599), Yoco Khumo (R699), Yoco Neo (R1499), Yoco Counter+Neo Touch (R2999). Raised USD83M Series C (2021). 250K+ merchants in retail, hospitality, and services."
FT002,SnapScan,QR Code Payment,ZAR,2.75,0.0,SME and Consumer,2012,Cape Town,Western Cape,Standard Bank Group,True,QR Integration / App SDK,340.2,80000,3.2,1,"Acquired by Standard Bank (2014). QR-code payments — no card machine required. Popular in restaurants, markets, pop-up stores, and events. Competes directly with Yoco for the SME hospitality segment."
FT003,PayFast,Online Payment Gateway,ZAR,3.5,2.0,E-Commerce,2007,Cape Town,Western Cape,DPO Group (Network International),True,Plugin (Shopify / WooCommerce / Magento) + API,1250.6,45000,8.1,2,"SAs most widely used online gateway. Supports 20+ payment methods including instant EFT, credit/debit cards, Mobicred, and Zapper. Critical for e-commerce with Takealot Marketplace integration. Acquired by DPO Group (2021)."
FT004,Peach Payments,Online Payment Gateway,ZAR,2.9,1.5,Mid-Market E-Commerce,2012,Cape Town,Western Cape,Peach Payments (Pty) Ltd,True,REST API / SDK / Hosted Page,980.3,12000,2.3,1,"API-first developer-friendly gateway. Serves mid-to-large merchants including Superbalist and OneDayOnly. Supports 3D Secure 2.0, tokenisation, and recurring billing. Growing in B2B SaaS vertical."
FT005,PayGate,Online Payment Gateway,ZAR,2.8,1.0,Enterprise E-Commerce,2000,Johannesburg,Gauteng,DPO Group (Network International),True,Legacy API / Hosted Checkout,1890.7,8000,1.8,2,"One of SAs oldest gateways (est. 2000). Enterprise merchants including large retailers, travel agencies, and government e-services. Strong in recurring billing. Complementary to PayFast in the DPO portfolio."
FT006,Ozow,Instant EFT Gateway,ZAR,1.5,1.0,E-Commerce,2015,Cape Town,Western Cape,Ozow (Pty) Ltd,True,REST API / Bank Redirect,720.9,28000,4.6,1,"Instant EFT gateway — customer authorises payment directly in their own banking app, no card details captured. Lower merchant fees than card acquiring since it bypasses interchange. Strong in gaming, utilities, and airtime/data top-up."
FT007,Zapper,QR Code Payment,ZAR,2.6,0.0,SME and Consumer,2013,Cape Town,Western Cape,Zapper (Pty) Ltd,True,QR Integration / App SDK,298.5,42000,2.1,1,"One of SAs original QR-code payment apps. Also processes loyalty and voucher redemption alongside payment, positioning it as an engagement layer for retail and QSR chains rather than a pure acquirer."
FT008,iKhokha,POS Card Acquiring,ZAR,2.75,0.0,SME,2012,Durban,KwaZulu-Natal,iKhokha (Pty) Ltd,True,REST API / Mobile SDK,612.3,130000,7.8,1,"Card-machine acquirer competing directly with Yoco in the SME segment, strongest outside the Western Cape. Bundles working-capital advances against processing history — a direct input to PCB's SME credit scoring where iKhokha cash flow is used as alt-data."
FT009,Stitch,Open Banking / Payments API,ZAR,1.2,0.5,Developer / Enterprise,2020,Cape Town,Western Cape,Stitch Money (Pty) Ltd,True,REST API / Open Banking,2140.8,3200,1.4,1,"Open-banking infrastructure: pay-by-bank, account verification and recurring debit orders via direct bank API connections rather than card rails. Smallest merchant base of the twelve but highest average transaction size — used mainly for high-value B2B and subscription flows."
FT010,Kazang,Prepaid & Bill Payment Terminal,ZAR,3.2,0.0,Informal Trader,2007,Johannesburg,Gauteng,Blue Label Telecoms,True,Terminal / USSD,84.6,65000,3.9,1,"Prepaid airtime, electricity and bill-payment terminal network reaching spaza shops and informal traders that card acquirers rarely reach. High transaction count, very low average basket — the transaction-count outlier of the twelve partners."
FT011,Adumo,POS Card Acquiring,ZAR,2.85,0.0,SME and Enterprise,2019,Johannesburg,Gauteng,Adumo Holdings,True,REST API / Mobile SDK / Hosted Page,715.2,38000,3.3,2,"Payment technology group formed from the merger of several legacy SA acquirers (including SwitchPay and iVeri), spanning in-store card machines and online gateway under one brand."
FT012,Mukuru,Cross-Border Remittance,ZAR,4.5,15.0,Remittance / Consumer,2004,Cape Town,Western Cape,Mukuru Africa,True,Agent Network / App / API,1480.0,4500,3.5,1,"Cross-border remittance for the SADC migrant-worker corridor — cash-in at an agent or the app, cash-out in Zimbabwe, Mozambique, Malawi and other regional destinations. Highest fee rate of the twelve, reflecting FX conversion and cross-border compliance cost."
